ID,title,pub_time,content,source,url
1,"Plan B From Hell",20190704,"伊黎伊斯兰国（伊拉克和黎凡特伊斯兰国）及其前身“基地”组织伊拉克分支的领导层有一个共同点，就是其关键人员的技能和专业精神。 这绝非偶然，因为在2003年之前的几个世纪里，伊拉克一直被“巴格达逊尼派”所统治，这个群体比伊拉克其他任何人都受过更好的教育，在管理政府、军队或商业组织方面也更有经验。 这是因为这些巴格达人在20世纪20年代伊拉克发现石油后变得非常富裕，他们占2003年伊拉克人口的10%。 20世纪50年代，随着巴格达逊尼派控制了政府，并用受过良好教育、不那么依赖外国专家的巴格达逊尼派取代了经营石油业务的外国公司，政府的石油收入开始飙升。 巴格达逊尼派在所有其他主要城市（摩苏尔、巴士拉、基尔库克），特别是巴格达、摩苏尔和基尔库克（最初生产石油的地方）组成的“逊尼派三角”中，主宰着政府和经济职能。 巴士拉位于什叶派为主的阿拉伯南部，但巴格达逊尼派也统治着巴士拉，只是更加残暴。 许多西方人并不知道巴格达逊尼派的统治地位。 2003年萨达姆·侯赛因的巴格达政府被推翻后，所有人都被提醒了这一点。 两年后，以什叶派为主的新政府宣布，伊拉克武装部队将接受前军队中“退休”的中下级军官服役，直至少校军衔，并要求这些人员志愿为“宝贵的祖国”服务。 这一宣布似乎已经酝酿了一段时间，但从未按计划实现，因为这些军官大多是巴格达逊尼派，2003年巴格达逊尼派政府被迫下台时，这个团体失去了一切。 虽然一些前军官接受了这一提议，但大多数人认为伊拉克新政府是为美国工作的一伙“叛徒”，因此不会服役。 外国专家认识到，如果没有大批前军官返回伊拉克服役，组建新的伊拉克军队将需要更长的时间。 一些逊尼派阿拉伯下级军官返回，但不情愿，因为他们必须在库尔德或什叶派阿拉伯指挥官手下服役。 这种情况以前从未发生过，巴格达逊尼派认为这是可耻的，他们认为只有他们才能统治伊拉克。 包括记者和政府官员在内的许多西方观察员认为，拒绝服役的许多军官是伊拉克民族主义者。 那是不正确的。 这些军官都是巴格达逊尼派，他们想让他们的少数派再次独裁统治伊拉克。 库尔德人和什叶派伊拉克人一直受到巴格达逊尼派的虐待，不愿放弃权力。 与此同时，巴格达逊尼派相信，只有他们才能恢复任何繁荣的美好过去。 巴格达逊尼派当时认为，尽管后来有证据表明库尔德人和什叶派能够管理国家，但一些人仍然认为库尔德人和什叶派无法管理国家。 由于对巴格达逊尼派的这种误解，许多外国人仍然对2003年5月美国解散前伊拉克军队的决定持强烈批评态度。 之所以这样做，是因为它与萨达姆·侯赛因及其政权有联系。 这40万人的军队并没有正式退役，但基本上只是奉命回家。 这些部队中的许多人带着武器回家了。 他们中的一些人，特别是军官，很快就被认定为日益增长的反政府暴力的领导人。 虽然有人指出，保留军队就像“保留纳粹的权力”，但这正是许多批评者希望通过最有能力的当地人再次统治伊拉克的原因。 没有人会承认这种观点，但归根结底是这样的。 据指出，第二次世界大战结束时，德军和日军必须维持秩序，直到盟军在敌军仍然控制的地区解除其控制为止。 敌军一旦如释重负，就成了战俘。 这意味着，1945年8月15日停战时，德国在挪威、克里特岛和波希米亚的部队，以及日本在马来亚、荷兰东印度群岛、英属婆罗洲和包括中国部分地区在内的其他几个地区的部队，在盟军的监督下，继续占领这些地区，直到有足够的盟军人员能够控制这些地区为止，在某些情况下，这需要几个月的时间。 直到那时，轴心国的军队才正式成为战俘。 然后，他们被盟军占领当局适当释放，其中一些人被作为战犯拘留起诉。 但在伊拉克，没有伊拉克军队占领的外国领土，只有伊拉克本身。 伊拉克武装部队中几乎所有的主要军官都是巴格达逊尼派，主要是因为他们忠于萨达姆·侯赛因和复兴党。 美国在伊拉克的管理人员必须迅速作出决定。 他们是否允许几十万有组织的部队，由少数人领导，并且深受仇恨的逊尼派阿拉伯人继续工作，并且冒着这些部队成为军阀部队的基础的风险，由长期支持独裁统治的人领导？ 还是解散军队重新开始？ 不管怎样，都有风险。 大多数其他伊拉克人； 特别是占人口60%的什叶派阿拉伯人、库尔德人（20%），甚至许多非巴格达逊尼派阿拉伯人（10%），都同意解散军队。 萨达姆·侯赛因及其巴格达阿拉伯官员和军事指挥官早就预料到了这一点，并制定了“B计划”，以防推翻巴格达逊尼派政府和解散巴格达军方。 1991年，一个以美国为首的联军在长达100小时的地面战斗中摧毁了占领科威特的伊拉克部队。 在伊拉克边界停止这一行动的唯一原因是美国向沙特阿拉伯保证科威特解放部队不会进入伊拉克。 沙特之所以希望这样做，是因为他们也希望伊拉克的逊尼派阿拉伯少数派继续掌权，以防止什叶派伊朗主宰甚至吞并伊拉克及其所有石油。 沙特人认为他们可以安排一场政变，用一个更仁慈、更温和、更理性的逊尼派阿拉伯独裁者取代萨达姆·侯赛因。 沙特失败了，也没有试图阻止英美2003年的入侵。 1991年至2003年期间，萨达姆和他的巴格达逊尼派为最坏的情况做了准备。 这包括萨达姆在1991年后对非巴格达籍的伊拉克逊尼派阿拉伯人进行赔偿。 这些逊尼派大多是部族，其中大多数是贝都因人，他们一直被巴格达人看不起。 为了做到这一点，萨达姆不仅与逊尼派阿拉伯人分享了石油财富，而且突然间因为宗教原因。 萨达姆成年后一直是一个非常公开的世俗阿拉伯人，公开饮酒，同时鼓励伊拉克妇女更加“现代”（不戴面纱，允许穿西装）。 逊尼派部落，像统治和管理沙特阿拉伯的贝都因人一样，倾向于一种更伊斯兰和传统的生活方式，萨达姆公开同意并将其奉为官方法律（但并非总是在私法中遵循）。 逊尼派部落首领现在很富有，因为他们拥有一些石油财富，他们对傲慢的巴格达逊尼派最终接受了贝都因人的古老智慧感到高兴，并成为当时占人口20%左右的更大逊尼派阿拉伯联盟的一部分。 萨达姆指出，号召阿拉伯人以狂热的武装抵抗和恐怖主义“保卫伊斯兰”具有鼓舞人心的力量，并以此作为他的B计划的实质； 建立一个由巴格达逊尼派管理的新的伊斯兰恐怖主义组织，他们拥有使这种暴力更加有效的知识和技能。 乌萨马·本·拉丹是一位富有的沙特（实际上是也门）企业家的儿子，他于20世纪80年代前往巴基斯坦，用与巴格达逊尼派同样的方法组织基地组织。 乌萨马接受了大学培训，并认识到有效组织和专业管理的重要性。 巴格达人比本拉登家族早几个世纪理解和实践了这一点。 在B计划实施20多年后，巴格达逊尼派仍然是基地组织及其分支伊黎伊斯兰国最有效的领导人。 管理这些伊斯兰恐怖组织的巴格达逊尼派已经从阿拉伯世界的其他地方招募了志同道合（受过教育）的逊尼派阿拉伯人，特别是阿拉伯国家，还有阿尔及利亚和埃及等北非国家。 因此，伊黎伊斯兰国工作人员的工作和组织是彻底和有力的。 本拉登开创了这一局面，伊拉克基地组织和伊黎伊斯兰国对此有所改进。 这就是为什么伊黎伊斯兰国的主要领导人成为攻击或抓捕的目标。 更糟的是，这些人多得足以用技术娴熟的下属来代替损失。 这些接班人经验不多，但他们的专业水平足以让他们知道，这是一个潜在的问题，他们可以通过放慢运营速度来避免，直到他们能够让事情像他们的前任一样顺利。 逊尼派阿拉伯人几个世纪以来一直是伊拉克政治的中心。 尽管英国在20世纪20年代任命了一位非伊拉克贵族为国王，但管理官僚机构和军队的大多数人都是伊拉克逊尼派阿拉伯人。 但是君主制在1958年结束，当时逊尼派官员谋杀了皇室并直接控制了政府。 逊尼派阿拉伯人是一群粗野的人，受过良好的教育，也很聪明。 他们会接受在2003年成为少数派吗？ 答案甚至出现在巴格达沦陷之前，当时有一小群逊尼派非正规武装分子对美军发动自杀式袭击。 巴格达逊尼派由于其历史和经验而处于这一伊斯兰恐怖主义智囊团的中心。 实际上，美国人在2003年所面临的情况与土耳其人在1534年征服伊拉克并驱逐伊朗人时所面临的情况相同。 英国人在1918年驱逐土耳其人后也面临着同样的问题。 土耳其人与巴格达逊尼派阿拉伯人达成了一项协议，后者随后控制了当地政府，并为土耳其军队提供了许多军官。 英国在20世纪20年代建立了一个外国逊尼派阿拉伯人（来自沙特阿拉伯的贵族哈希姆部族）为伊拉克国王，但让逊尼派掌管其他一切。 从1930年代到1950年代末，伊拉克共和国实际上是一个君主立宪制国家。 巴格达逊尼派不喜欢在议会中占少数的想法，他们用世俗的复兴党取代了君主制，复兴党建立并管理着巴格达的独裁政权。 由于数千名逊尼派阿拉伯人在2003年后决定参战，尽管大多数逊尼派反对（但得到了很大一部分逊尼派的支持），战争直到武装逊尼派沦为分散的土匪和黑帮活动才结束。 这一直持续到2008年，与此同时，美国人不得不拼命组建一支由库尔德人和什叶派逊尼派控制的警察部队和官僚机构，他们有能力击败仍在战斗的逊尼派。 2008年后，库尔德人/什叶派政府除了自身的低效和腐败外，没有遭到反对。 正因为如此，伊拉克又回到了一团糟的状态。 所有这一切只是为了向你表明军队比政治更容易对付。 与此同时，被击败的伊拉克基地组织在2008年后转入地下，但仍在继续组织。 2011年叙利亚内战爆发时，伊拉克基地组织前往叙利亚，招募志同道合的叙利亚逊尼派阿拉伯人（他们在叙利亚占多数，长期以来一直由什叶派少数人管理，他们使用类似于巴格达逊尼派的战术），并迅速演变为伊黎伊斯兰国。 到2017年，2008年再次发生，巴格达逊尼派伊斯兰恐怖分子再次处于隐形状态，准备在有机会时恢复B计划。 巴格达人可能需要几代人才能失去重新控制巴格达和伊拉克其他地区的热情。 这就是中东的情况，几个世纪以来，那里的怨恨一直动荡不安，具有致命的杀伤力。 ",strategypage,https://www.strategypage.com/htmw/htlead/articles/20190704.aspx
2,"Those Wicked Infidel Bankers",20190628,"在印度西北部（克什米尔），敌对的伊斯兰恐怖组织再次相互仇视，一名巴基斯坦支持的伊斯兰恐怖分子最近被一名敌对的伊斯兰恐怖分子杀害。 这种暴力导致1990年代克什米尔伊斯兰恐怖主义活动的崩溃。 巴基斯坦花了十多年的时间才使克什米尔的恐怖主义重新抬头，现在伊斯兰恐怖主义的自我毁灭方面又回来了，几乎总是这样。 这些分歧可能有很多原因，但最常见的原因是，在坚持上帝的计划方面，哪一个伊斯兰恐怖组织最公正、最忠实。 伊斯兰教经文没有提供解决这些争端的公认办法，也没有中央宗教当局作出裁决。 因此，派系主义和自毁宿怨的循环仍在继续。 与此同时，伊斯兰恐怖主义在2019年头六个月造成了自2005年以来克什米尔最多的与恐怖主义有关的死亡。 尽管巴基斯坦最近承诺停止进一步卷入阿富汗“内部冲突”，但伊朗人、印度人和阿富汗人普遍同意，巴基斯坦无意放弃利用某些伊斯兰恐怖组织（如塔利班）对邻国施加压力。 这被认为是每个人，特别是阿富汗人的问题。 更糟糕的是，该地区很少有人（特别是阿富汗人和伊朗人）期望塔利班同意禁止塔利班控制的阿富汗再次成为伊斯兰恐怖分子的庇护所。 许多阿富汗人想知道为什么美国人甚至在与塔利班谈判，塔利班长期以来一直表明他们是不可信任的。 伊朗人对此特别警惕，因为他们认为塔利班本质上是反伊朗人的。 伊朗还与阿富汗贩毒团伙有问题，这些团伙在巴基斯坦的合作下继续生产所有这些海洛因、鸦片和印度大麻脂。 其中大部分是通过伊朗流出阿富汗的，这使得伊朗和阿富汗的边境变成了一个越来越血腥的战场。 Imran Khan最近（2018年）当选为 
作为巴基斯坦总理，他证明了自己是巴基斯坦军方的一个工具。 汗公开和热情地支持印度克什米尔的伊斯兰恐怖主义暴力，并否认巴基斯坦对此负有任何责任。 巴基斯坦军方现在可以为所欲为，没有任何风险来自巴基斯坦政客的批评。 三军情报局新任局长因热心支持伊斯兰激进主义和对印度使用伊斯兰恐怖主义而闻名。 这一切都有阴暗面，即使对巴基斯坦人来说也是如此。 印度领导人别无选择，他们正在认真讨论对巴基斯坦克什米尔边界另一边的伊斯兰恐怖分子设施进行更多的袭击和空袭。 巴基斯坦说，如果发生这种情况，局势也会升级，这就是事态的发展方向。 
伊姆兰汗上台后不久，巴基斯坦军方的国防开支增加了20%，考虑到政府面临的严重预算问题，这是令人惊讶的。 
印度每年在国防上花费近600亿美元，是全球第五大国防预算（仅次于美国、中国、俄罗斯和沙特阿拉伯）。 巴基斯坦以114亿美元勉强进入前20名。 印度的支出占国内生产总值的3.1%，而巴基斯坦目前为4%。 2019年巴基斯坦债务危机之后，这种慷慨并没有幸免，现在巴基斯坦军方已经失去了他们最近获得的大部分预算收益，而且可能还会损失更多。 从字面上讲，将军们可以把这一切都归咎于“外国银行家”，而在很大程度上归咎于异教徒（非穆斯林）。 
尽管国际货币基金组织（IMF）不愿再借钱给巴基斯坦，因为巴基斯坦国防开支过大，在让巴基斯坦富人交税方面缺乏进展，但也有人指责IMF资助伊斯兰恐怖主义。 国际货币基金组织还警告说，如果巴基斯坦允许伊斯兰恐怖分子筹集资金并将资金转移到国外的指控得到证实，巴基斯坦在获得外国贷款方面将面临更多的问题。 资助恐怖主义的费用由 
特别组织（特别组织）已把巴基斯坦列入灰色名单，如果巴基斯坦不作出有效努力，阻止以巴基斯坦为基地的恐怖团体利用国际银行系统资助其暴力行为，该组织将升级为黑名单。 2018年初，巴基斯坦被警告说，除非他们减少来自巴基斯坦的非法融资活动，否则反洗钱金融行动工作组将把巴基斯坦重新列入“灰色名单”，而这一次，它将更有可能被列入黑名单，这将意味着巴基斯坦将因由此产生的国际银行业务限制而出现一些财务问题。 巴基斯坦表示，它将在2018年底之前实现这一目标，但未能实现这一目标。 特别组织要求他们在五月份前遵守，但巴基斯坦也错过了最后期限。 最后一次机会的最后期限是十月。 
最初，金融行动工作组指出，2018年巴基斯坦产生了8,707份可疑交易报告，而2017年为5,548份。 2019年头两个月，巴基斯坦产生了1 136份可疑交易报告。 特别组织将于六月底决定巴基斯坦是否有任何进展，而到目前为止，似乎没有任何进展。 巴基斯坦从2012年至2015年一直在灰色名单上，这对进出口企业或需要获得贷款或出售债券的企业不利。 2015年后，巴基斯坦仍在金融行动工作组的名单上，但没有被列为危险国家。 在名单的灰色部分，使它更昂贵的做生意，是非常不利于巴基斯坦和巴基斯坦的声誉。 2018年初，中国在将巴基斯坦排除在灰色名单之外方面发挥了重要作用，但可能性不大，因为长期以来，巴基斯坦对自己心爱的伊斯兰恐怖分子的支持一直是公开的秘密，包括让伊斯兰恐怖分子更容易在巴基斯坦做生意。 美国一直在收集证据，证明反洗钱金融行动工作组有理由将巴基斯坦重新列入灰色名单（与埃塞俄比亚、也门、伊拉克、叙利亚、塞尔维亚、斯里兰卡、特立尼达和多巴哥、瓦努阿图和突尼斯并列）。 特别组织每三个月举行一次会议，研究新的证据，让各国加入或退出名单。 下一次审查已经到来，美国人继续收集更多的证据。 美国现在认为巴基斯坦是反恐战争中的一个问题，而不是一个可靠的伙伴。 印度和阿富汗以及越来越多的联合国会员国都同意这一观点。 印度希望巴基斯坦被列入黑名单，并继续汇编和提交支持列入黑名单的证据。 2019年6月26日:在巴基斯坦北部（拉瓦尔品第是国家首都附近的一个军事城镇），军队总部大院内的医院发生爆炸。 这家医院是巴基斯坦戒备森严的设施之一。 军方试图不让当地和国际媒体知道这次袭击的消息。 10人受伤，袭击的目标据信是Masood Azhar，他是印度长期（死活）追捕的国际恐怖分子。 Azar应对2011年孟买（印度）恐怖袭击和最近2月在克什米尔发生的导致40名印度警察死亡的自杀式爆炸事件负责。 印度有大量证据表明，巴基斯坦继续保护只袭击其他国家（主要是印度和阿富汗）的伊斯兰恐怖组织。 巴基斯坦感谢中国长期使用联合国否决权阻挠正当的反恐措施，但最终中国对此感到厌倦，最近同意，爱资哈尔确实是一个臭名昭著的恐怖分子。 中国还试图说服巴基斯坦放弃支持那些愿意袭击巴基斯坦敌人的伊斯兰恐怖组织。 巴基斯坦拒绝同意中国的要求，因此中国以更强硬的措辞发出了这一信息，不再阻挠联合国将爱资哈尔定为国际恐怖分子的努力。 这一举动为中国赢得了阿富汗、印度和许多其他国家的一些善意，这些国家因巴基斯坦利用伊斯兰恐怖分子而蒙受苦难。 在联合国宣布阿扎尔为恐怖分子后的几天内，巴基斯坦冻结了他的银行账户，并禁止他出国。 Azhar没有被捕，也没有对Azhar领导的恐怖团体正义与平等运动（Jaish e Mohammad）采取任何行动。 爱资哈尔患有肾衰竭，需要定期透析以维持生命。 他显然在军事医院接受治疗。 正义与平等运动已成为印度克什米尔反恐行动的主要目标。 去年在克什米尔被杀的伊斯兰恐怖分子中，大约有三分之一属于正义与平等运动。 虽然正义与平等运动自2000年以来就一直存在，但直到最近几年才成为伊斯兰恐怖主义的主要威胁。 在巴基斯坦西南部（俾路支省），三名巴基斯坦塔利班自杀炸弹手袭击了警察总部大院，造成一些破坏，并被炸死。 一名警察也死了。 2019年6月20日:在巴基斯坦东部（旁遮普省），警方今年第二次突袭了一个伊斯兰恐怖分子藏身处，打死了两名伊黎伊斯兰国（伊拉克和黎凡特伊斯兰国）成员。 夜间行动实际上在伊黎伊斯兰国用作基地的房子里逮捕了5名男子。 伊黎伊斯兰国的两名男子基本上牺牲了自己，以便其他三人能够逃脱。 在这所房子里，警察发现了大量的武器和弹药以及支持行动的设备，比如绑架外国人或巴基斯坦著名官员。 巴基斯坦对伊黎伊斯兰国当地活动的官方评估是，伊黎伊斯兰国的活动主要限于阿富汗。 虽然事实如此，但伊黎伊斯兰国显然也在巴基斯坦境内，至少自2018年以来一直如此。 巴基斯坦境内的伊黎伊斯兰国小组吸引了现有伊斯兰恐怖团体中更为激进和大胆的人。 1月份的一次类似袭击杀害了两名伊黎伊斯兰国男子，这两人已知参与了2011年在拉合尔（旁遮普省首府）绑架一名美国人的事件。 2015年，这名美国人质在阿富汗边境的一个藏身处被美国无人机导弹击中身亡。 1月和6月袭击中被打死的伊黎伊斯兰国男子也应对其他引人注目的绑架事件负责，目前正在计划更多的绑架事件。 从最近的袭击中逃脱的三名男子正在被追捕，巴基斯坦承认，可能还有其他伊黎伊斯兰国成员活跃在巴基斯坦境内。 2019年6月8日:在印度东北部（那加兰邦），印度和缅甸军队完成了另一轮联合行动，以消除边境缅甸一侧萨甘地区的各种（主要是那加邦）叛军基地。 Sagaing地区长期以来一直被用作印度反叛分子的避难所，但今年印度和缅甸军队一直在协调努力，永久关闭边境营地，至少是很长一段时间。 自3月以来，这些行动在边界两侧发现了50多个叛军营地。 其中大多数都被长城反叛分子利用，但也有其他几个反叛团体在场。 这些行动的现阶段可能是今年的最后一个阶段，这取决于对所涉反叛团体造成的长期破坏程度。 今年3月，印度和缅甸在边境两边进行了第一次扫荡。 这种情况持续了好几个星期。 虽然这伤害了Naga反叛分子，但没有摧毁反叛团体，反叛团体在部队停止活动后返回边界地区。 从那以后，缅甸又发动了两次大规模的军事行动，缅甸军队在特定地区巡逻，直到印度证明那加叛军遭受了严重和长期的破坏为止。 印度军队还在边境一侧积极行动，以确保纳加反叛分子，包括印度和缅甸的反叛分子，无处可去，局势将持续很长时间（至少几个月），许多反叛分子将会逃亡并返回他们的村庄。 其他反叛组织将被印度或缅甸军队围困并摧毁。 纳迦人大部分是印度人，但也有一些生活在缅甸最北部的萨甘地区，属于NSCN（全国纳迦兰社会主义委员会），该委员会希望组成一个独立的纳迦兰，包括印度和缅甸领土以及来自两国的纳迦人。 Sagaing正在寻找的许多营地属于NSCN的NSCN-K派。 2019年初，据信在NSCN大约有5000名活跃的反叛分子，其中大约10%是缅甸长老。 这一新的行动旨在大幅度缩小国家SCN的规模。 到2019年底才会知道会造成多大的损失？ 这些行动不仅是为了追捕国家安全委员会，而且也是为了追捕一些较小的团体，如乌法-1派、民族民主阵线和曼尼普尔反叛分子。 那加人实际上大约有200万人，他们来自一个有着许多民族（缅甸-西藏）特征和传统的部落。 大约10%的纳迦人生活在缅甸，但大多数的叛乱暴力发生在印度纳迦兰，那里是纳迦人最多的居住地。 多年来，长反政府武装一直利用缅甸的基地训练和休息，然后返回印度作战。 经过大量的外交压力，缅甸军队最终追捕了那加叛军营地，并预计到2019年底关闭其中大部分营地。 那加叛军不与缅甸士兵作战，但总是撤退。 在这次新的军事行动中，缅甸士兵奉命追捕、俘虏或杀死他们遇到的任何反叛分子。 如果叛军向印度进发，印度军队就会得到警报，并将军队调到适当的位置，以对抗任何越过边境逃离缅甸军队的叛军。 2019年6月7日:本人 
在巴基斯坦西北部（北瓦济里斯坦），伊斯兰恐怖分子使用路边炸弹袭击了阿富汗边境附近的一支军队巡逻队。 4名士兵被打死，4人受伤。 
在巴基斯坦西南部（俾路支省），逊尼派伊斯兰恐怖分子又对什叶派巴基斯坦人发动了两次袭击（均使用炸弹）。 五人死亡，十几人受伤。 没有任何一个组织对这两起袭击负责。 2019年6月6日:印度又订购了100枚以色列香料2000智能炸弹，每枚售价约42万美元。 这是继最近为陆军订购5000台战术作战网络无线电台之后的又一次订单。 这些设备每台售价约2.4万美元，因为它们能抵抗电子干扰，并能在战区经受粗暴的处理。 这些无线电还可以处理数据和语音，并可以建立无线战场网络。 这些无线电安装在战车和固定总部。 2019年6月5日:在巴基斯坦，军方领导人表示，他们已经自愿削减明年的军事预算，以便让IMF同意新一轮“紧急贷款”，以解决缺乏外汇支付进口的问题。 这次削减国防开支的行动不是自愿的，而是国际货币基金组织强加给巴基斯坦和巴基斯坦军方的。 长期以来，过度的军事开支一直被认为是巴基斯坦经济持续恶化的一个主要原因。 外国贷款机构希望进一步削减国防开支，但这将明显表明，削减军费是被迫的。 2019年6月4日:美国给巴基斯坦一个机会，恢复由于巴基斯坦支持伊斯兰恐怖主义而失去的一些军事和经济援助。 美国希望巴基斯坦说服（胁迫）阿富汗塔利班在和谈要求中更加合理。 这个要求不太可能实现，很可能会失败。 阿富汗变得更加混乱和依赖巴基斯坦长期以来一直是巴基斯坦对阿富汗外交政策的支柱。 卡塔尔的和谈毫无进展，这对巴基斯坦有利，尽管最好的结果是美国同意离开并接受塔利班的保证，即阿富汗不会成为伊斯兰恐怖分子的庇护所。 ",strategypage,https://www.strategypage.com/qnd/india/articles/20190628.aspx
